mainid(hidden),mod15(hidden),div15(hidden),"Age(feature, sensitive))",Speed(hidden),"Gender(feature,sensitive)",Strength(hidden),Speedtest(hidden),Lifttest(hidden),testresult(feature),livesnear(feature),Suitability(target),Value-when-hired(hidden),Candidate-loss-when-nothired(hidden),Should-hire(target),Shouldnothire,hired-by-expert,A1(testresult),"A2(testresult,30under)","A3(Age,Gender, test)",A4(postive-dicr)
225000,0,0,22,2,male,6,1,1,2,0,4," 10,000 ",5000,1,0,1,1,1,1,1
225001,1,0,26,2,male,6,0.5,1,1.5,1,4," 10,000 ",5000,1,0,1,1,1,1,0
225002,2,0,28,1,male,6,1,1,2,1,3," 5,000 ",5000,1,0,1,1,1,1,1
225003,3,0,28,1,male,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,1,1,0
225004,4,0,32,2,male,6,1,1,2,0,4," 10,000 ",5000,1,0,1,1,1,1,1
225005,5,0,39,1,male,6,1,1,2,0,3," 5,000 ",5000,1,0,0,1,1,1,1
225006,6,0,31,1,male,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,1,1,0
225007,7,0,36,0,male,6,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,1,1,0
225008,8,0,38,0,male,6,0,1,1,0,1," -10,000 ",10,0,1,0,0,0,0,0
225009,9,0,46,1,male,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,0,0,1
225010,10,0,41,1,male,6,0.5,1,1.5,1,3," 5,000 ",5000,1,0,1,1,0,0,1
225011,11,0,49,0,male,6,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,0,0,1
225012,12,0,49,0,male,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,0,0,1
225013,13,0,48,0,male,6,0.5,1,1.5,0,1," -10,000 ",10,0,1,0,1,0,0,1
225014,14,0,47,0,male,6,0,1,1,1,1," -10,000 ",10,0,1,0,0,0,0,0
225015,0,1,27,2,male,6,1,1,2,1,4," 10,000 ",5000,1,0,1,1,1,1,1
225016,1,1,28,2,male,6,0.5,1,1.5,1,4," 10,000 ",5000,1,0,1,1,1,1,0
225017,2,1,23,1,male,6,1,1,2,0,3," 5,000 ",5000,1,0,0,1,1,1,1
225018,3,1,20,1,male,6,0.5,1,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225019,4,1,38,2,male,6,1,1,2,0,4," 10,000 ",5000,1,0,1,1,1,1,1
225020,5,1,38,1,male,6,1,1,2,1,3," 5,000 ",5000,1,0,1,1,1,1,1
225021,6,1,35,1,male,6,0.5,1,1.5,0,3," 5,000 ",5000,1,0,0,1,1,1,0
225022,7,1,36,0,male,6,0.5,1,1.5,1,1," -10,000 ",10,0,1,0,1,1,1,0
