Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision
x8011e,female,24,German,Swimming,70,False,False,False,False,1,True,phd,A,True
x6077a,male,26,German,Golf,67,False,True,False,False,2,True,bachelor,A,False
x6006e,female,23,Dutch,Running,67,False,True,True,False,0,True,master,A,False
x2173b,male,24,Dutch,Cricket,70,False,True,False,False,1,True,master,A,True
x6241a,female,26,German,Golf,59,False,False,False,False,1,False,master,A,True
x9063d,female,26,Dutch,Chess,63,False,False,False,False,1,True,bachelor,A,True
x5785d,female,27,Dutch,Tennis,63,True,True,False,False,2,True,bachelor,A,False
x8767c,female,22,Dutch,Swimming,71,False,True,False,False,1,True,master,A,True
x6541b,female,28,Dutch,Football,65,True,False,False,True,3,False,bachelor,A,False
x3890b,male,24,Dutch,Football,55,True,False,False,True,3,False,master,A,True
x9775f,female,27,Dutch,Football,61,False,False,False,False,1,True,bachelor,A,False
x3562f,male,28,Dutch,Football,56,False,False,False,True,2,False,bachelor,A,True
x4044c,female,27,German,Football,62,False,True,False,False,1,True,bachelor,A,False
x9428d,male,26,Dutch,Football,56,False,False,False,False,1,False,bachelor,A,False
x4375d,female,25,Dutch,Swimming,63,False,True,False,False,1,False,bachelor,A,False
x3407e,female,27,Dutch,Football,66,True,True,False,True,2,True,bachelor,A,True
x9859f,male,28,Dutch,Cricket,63,False,True,True,False,1,False,phd,A,False
x6048a,male,27,Belgian,Football,60,True,False,False,True,2,False,bachelor,A,True
x7516e,male,31,Dutch,Swimming,71,False,True,True,False,1,True,phd,A,True
x8071e,female,24,Belgian,Running,63,False,False,False,False,1,True,bachelor,A,True
x6618f,female,27,Dutch,Running,68,False,True,False,False,1,True,master,A,False
x6055a,female,28,Dutch,Running,65,False,False,True,False,0,True,master,A,False
x4063e,male,26,Dutch,Tennis,62,False,True,False,False,2,False,bachelor,A,False
x7466e,male,24,Dutch,Running,74,False,True,False,False,1,True,master,A,True
x9170e,male,24,Belgian,Tennis,72,False,True,False,False,2,True,master,A,True
x3887a,male,24,Dutch,Football,68,False,True,False,False,2,True,master,A,False
x2399e,male,21,Dutch,Running,61,False,False,False,False,2,False,bachelor,A,False
x2460f,male,29,Dutch,Rugby,58,True,False,False,True,3,False,master,A,True
x4499e,male,30,Dutch,Cricket,56,False,False,True,False,0,False,master,A,False
x2883f,male,26,Dutch,Football,65,False,False,False,False,1,True,bachelor,A,False
x9082b,female,22,Belgian,Swimming,69,False,True,False,False,1,True,bachelor,A,True
x7785e,female,31,Belgian,Golf,61,False,False,False,False,1,False,bachelor,A,True
x8533d,male,29,Dutch,Football,61,True,False,False,False,2,False,bachelor,A,True
x2781d,male,23,German,Tennis,66,False,True,False,True,2,True,bachelor,A,False
x2046b,male,31,Dutch,Swimming,59,False,False,False,False,1,False,bachelor,A,False
x4020c,male,28,Dutch,Football,51,True,False,True,False,2,False,master,A,False
x9259f,male,29,Dutch,Rugby,65,True,False,True,False,2,False,phd,A,True
x6183e,male,32,Dutch,Golf,66,False,False,True,False,1,True,master,A,False
x2368c,male,27,German,Football,64,True,True,False,True,2,False,bachelor,A,False
x4001c,female,22,Belgian,Cricket,71,False,True,False,False,1,True,master,A,True
x2984e,female,30,Dutch,Football,57,True,False,False,True,3,False,master,A,True
x6252c,male,28,Dutch,Football,68,False,True,False,False,2,True,bachelor,A,True
x2750a,female,25,Belgian,Swimming,69,False,True,False,False,1,True,bachelor,A,False
x9388c,female,22,Dutch,Swimming,64,False,True,False,False,1,True,master,A,False
x1060e,female,21,Dutch,Tennis,67,False,False,False,False,2,True,bachelor,A,False
x7405a,male,28,Belgian,Rugby,64,False,True,True,False,0,True,master,A,False
x6099d,female,26,Dutch,Swimming,60,False,False,False,False,0,False,bachelor,A,False
x2840a,male,28,Dutch,Football,65,False,False,False,False,1,True,master,A,True
x5308g,female,28,Dutch,Swimming,59,False,False,False,False,1,True,bachelor,A,False
x8899g,female,27,German,Chess,63,False,False,True,False,1,False,master,A,True
x1321e,female,28,Dutch,Football,67,False,True,False,False,2,True,bachelor,A,True
x3011g,male,26,Dutch,Football,57,True,False,False,True,3,False,master,A,True
x2249f,male,29,Dutch,Football,58,True,False,False,False,2,False,bachelor,A,False
x2999e,male,24,Dutch,Football,55,True,False,False,True,3,False,phd,A,True
x4107e,female,26,Dutch,Swimming,74,True,True,False,True,2,True,master,A,False
x9542g,male,26,Dutch,Swimming,69,False,True,True,False,1,True,master,A,False
x5134e,male,28,Dutch,Football,62,True,False,False,True,2,False,master,A,True
x6281a,male,25,German,Football,52,False,False,False,False,1,False,master,A,False
x8524b,female,32,German,Cricket,59,False,False,False,False,1,False,master,A,True
x6524a,female,32,Dutch,Football,58,False,False,True,False,0,False,master,A,False
x1791e,female,29,German,Golf,57,False,False,False,False,0,False,bachelor,A,False
x3972b,male,25,Belgian,Swimming,51,True,False,False,True,2,False,master,A,False
x2923f,male,29,Dutch,Rugby,63,True,False,False,True,3,False,master,A,True
x7200f,male,32,Dutch,Rugby,68,False,False,False,False,1,True,master,A,True
x4574f,male,29,Dutch,Football,58,True,False,True,True,2,False,master,A,True
x6651a,male,26,Dutch,Football,57,False,False,False,False,1,False,bachelor,A,False
x4098d,male,21,Dutch,Swimming,63,False,True,False,False,1,True,bachelor,A,False
